Date,Turtle,Loc_ID,Profile_ID,Size_ID,R_ID,Cap_ID,Pit_ID
6/29/1997,92.001,5,4,437,206,7,115118690A
8/2/2002,92.002,2,4,438,207,2,115118690A
8/29/2006,92.003,5,5,439,11,6,115118690A
6/15/2010,92.004,12,4,440,208,6,115118690A
6/22/2010,92.005,12,4,441,28,6,115118690A
7/14/2010,92.006,12,4,442,32,6,115118690A
5/18/2011,92.007,49,5,443,36,6,115118690A
5/21/2013,92.008,12,24,444,83,6,115118690A
8/28/2013,92.009,37,5,445,84,6,115118690A
9/7/2002,93.001,2,27,446,9,1,115119110A
7/10/2003,93.002,2,7,447,78,2,115119110A
7/5/2004,93.003,2,4,448,9,2,115119110A
7/19/2006,93.004,18,28,449,209,6,115119110A
5/25/2010,93.005,7,9,450,15,6,115119110A
7/22/2013,93.006,46,5,451,17,6,115119110A
7/22/2014,93.007,21,5,452,43,9,115119110A
7/12/1997,94.001,5,2,453,210,7,115119233A
6/24/2000,94.002,50,11,454,211,6,115119233A
6/2/2001,94.003,4,11,455,212,6,115119233A
6/1/2002,94.004,59,11,456,213,20,115119233A
9/15/2002,94.005,60,11,457,214,2,115119233A
9/6/2003,94.006,51,23,458,215,3,115119233A
9/14/2003,94.007,51,23,459,216,3,115119233A
7/9/2004,94.008,51,23,460,217,5,115119233A
7/16/2004,94.009,51,23,461,218,3,115119233A
8/3/2004,94.01,51,23,462,219,20,115119233A
9/4/2004,94.011,51,23,463,220,3,115119233A
9/26/2004,94.012,51,23,464,221,20,115119233A
6/15/1997,95.001,5,52,465,222,7,115121113A
7/24/2002,95.002,50,53,466,223,6,115121113A
8/14/2004,95.003,2,54,467,9,6,115121113A
8/29/2013,95.004,61,42,468,84,6,115121113A
8/31/2002,96.001,2,40,469,224,1,115122192A
8/24/2004,96.002,2,49,470,144,3,115122192A
9/16/2004,96.003,2,4,471,225,3,115122192A
9/26/2004,96.004,2,4,472,226,3,115122192A
10/2/2004,96.005,2,4,473,227,2,115122192A
9/26/2004,97.001,2,4,474,9,3,115122632A
9/1/2004,98.001,62,55,475,228,23,115122632A
7/1/1997,99.001,5,27,476,69,7,115123143A
6/24/1997,100.001,5,48,477,69,7,115123212A
6/13/1997,101.001,5,4,478,69,7,115123285A
6/23/1997,102.001,5,56,479,118,7,115123491A
7/12/1997,103.001,5,2,480,69,7,115123530A
5/4/2003,103.002,16,51,481,229,6,115123530A
7/31/2004,104.001,2,4,482,9,15,115124597A
8/3/2004,104.002,2,45,483,9,3,115124597A
8/14/2004,104.003,2,40,484,9,3,115124597A
9/15/2002,105.001,2,57,485,9,1,115124650A
10/5/2002,105.002,2,58,486,9,2,115124650A
7/27/2004,105.003,2,59,487,230,3,115124650A
8/3/2004,105.004,2,40,488,9,3,115124650A
