Date,Turtle,Trap_Type,Species,Pit_ID,New_Recap,Sex,Age,Mass,Carapace_L,Carapace_W,Carapace_H,Plastron_L,Pond,Pond_Loc,Bait_Type,Notes,Observer
7/15/2008,17.005,Hoop,Cp,113663532A,R,M,A,205,117,93,42,111,ALM,Cove,NULL,NULL,NULL
8/5/2008,17.006,Hoop,Cp,113663532A,R,M,A,210,115,87,40,105,ALM,"Picknic rock",NULL,NULL,NULL
7/29/2010,17.007,Hoop,Cp,113663532A,R,M,W,203,120,94,43,110,ALM,Damside,NULL,NULL,NULL
7/9/2004,18.001,hoop,Cp,113812554A,N,M,8+,268,136,100,43,124,SUT,"West side",NULL,"L9 to L11 recently damaged (blood)",Karrmann
7/11/2004,18.002,bask-p,Cp,113812554A,R,M,worn,267,137,100,43,125,SUT,swim,NULL,"L9-11: damaged",Karrmann
6/22/2010,18.003,Hoop,Cp,113812554A,R,M,W,286,136,97,41,122,SPG,Damside,NULL,NULL,NULL
7/26/2013,18.004,Hoop,Cp,113812554A,R,M,NULL,300,136,97,44,123,TMR,NULL,NULL,NULL,Falk/Florio
9/21/1996,19.001,Hoop,Cp,113822750A,N,F,NULL,NULL,133,103,NULL,NULL,ALM,"Arthur's Inlet",NULL,"pit added 02 JUN 03",Brady
6/13/1997,19.002,Hoop,Cp,113822750A,R,F,W,330,NULL,NULL,NULL,129,ALM,NULL,NULL,NULL,McKinsey
6/30/1997,20.001,Hoop,Cp,113824734A,N,F,W,330,NULL,NULL,NULL,138,ALM,NULL,NULL,NULL,McKinsey
6/15/2010,20.002,Hoop,Cp,113824743A,R,F,W,377,141,106,52,130,ALM,Cove,NULL,NULL,MV
6/2/1996,21.001,Hoop,Cp,113872240A,N,F,NULL,NULL,143,108,NULL,NULL,ALM,"South End",NULL,"PIT # added 02 JUN 03",Brady
6/24/1997,21.002,Hoop,Cp,113872240A,R,F,W,410,NULL,NULL,NULL,134,ALM,NULL,NULL,"previously notched 0-(2-9)",McKinsey
7/19/2006,21.003,Hoop,Cp,113872240A,R,F,A,412,146,110,60,132,ALM,"Swamp Trail Inlet",NULL,"End of tail bit off.",NULL
7/10/2002,22.001,Hoop,Cp,113911447A,N,F,5,62,74,65,31,68,ALM,"Swamp Trail Inlet",NULL,NULL,Karrmann
8/15/2002,22.002,bask-p,Cp,113911447A,R,F,NULL,70,78,67,31,73,ALM,BMI,NULL,NULL,Karrmann
9/15/2002,22.003,bask-p,Cp,113911447A,R,F,NULL,74,79,68,32,74,ALM,BMI,NULL,NULL,Karrmann
5/4/2003,22.004,Hoop,Cp,113911447A,R,F,6+,74,81,69,33,75,ALM,"Swamp Trail Inlet",NULL,"13 carapace on left side- 12 on the right; notches erroneously recorded as ""new""",Karrmann
7/12/2003,22.005,bask-p,Cp,113911447A,R,F,6,88,84,71,33,78,ALM,BMI,NULL,"dorsal disalignment",Karrmann
8/30/2003,22.006,Hoop,Cp,113911447A,R,F,5+,96,88,73,34,83,ALM,BMI,NULL,"turtles surface basking",Karrmann
6/21/2004,22.007,bask-p,Cp,113911447A,R,F,6+,128,95,77,38,90,ALM,BMI,NULL,"found in bask",Karrmann
7/18/2006,22.008,Hoop,Cp,113911447A,R,F,J,190,114,88,41,110,ALM,"Swamp Trail Inlet",NULL,NULL,NULL
7/22/2006,22.009,Hoop,Cp,113911447A,R,F,6+,189,111,85,42,107,ALM,NULL,NULL,NULL,"WS - Team Turtle"
8/29/2006,22.01,Hoop,Cp,113911447A,R,F,NULL,230,115,84,48,109,ALM,NULL,NULL,RAINING,ws
7/15/2008,22.011,Hoop,Cp,113911447A,R,F,A,275,126,93,46,124,ALM,Cove,NULL,NULL,NULL
5/25/2010,22.012,Hoop,Cp,113911447A,R,NULL,NULL,308,134,96,53,129,ALM,Cove,NULL,NULL,"NYU-ECE w/ MM"
6/23/2010,22.013,Hoop,Cp,113911447A,R,F,7+,324,136,101,48,129,ALM,Cove,NULL,NULL,"MV- KP"
6/26/2010,22.014,Hoop,Cp,113911447A,R,F,6+,321,137,100,49,131,ALM,Cove,NULL,NULL,"MV- JB"
6/14/2011,22.015,Hoop,Cp,113911447A,R,F,7+,NULL,141,103,51,133,ALM,dock,NULL,NULL,"MV- JS. SG"
6/17/2011,22.016,Hoop,Cp,113911447A,R,F,7+,NULL,141,103,51,133,ALM,dock,NULL,NULL,"MV- JS. SG"
6/23/2011,22.017,Hoop,Cp,113911447A,R,F,7+,NULL,141,103,51,133,ALM,dock,NULL,NULL,"MV- RC"
5/21/2013,22.018,Hoop,Cp,113911447A,R,F,A,441,148,105,55,139,ALM,"Picnic Rock",NULL,NULL,"MM- NYU"
8/28/2013,22.019,Hoop,Cp,113911447A,R,F,NULL,NULL,141,98,46,128,ALM,"A NW",NULL,NULL,"SRMP TEAM 2013"
7/22/2014,22.02,NULL,Cp,113911447A,R,F,NULL,405,150,107,56,143,NULL,E,Tuna,NULL,"EM- SSC"
7/10/1997,23.001,Hoop,Cp,113914110A,N,F,8,310,NULL,NULL,NULL,131,ALM,NULL,NULL,NULL,McKinsey
6/1/2002,23.002,Hand,Cp,113914110A,R,F,NULL,330,139,103,49,NULL,ALM,"Arthur's Inlet",NULL,NULL,Karrmann
8/3/2003,23.003,snrkl,Cp,113914110A,R,F,W,356,140,104,48,134,ALM,BMI,NULL,NULL,Karrmann
7/19/2006,23.004,Hoop,Cp,113914110A,R,F,A,346,135,102,47,136,ALM,"Picnic Rock",NULL,NULL,NULL
8/5/2008,23.005,Hoop,Cp,113914110A,R,F,A,375,140,103,50,139,ALM,"Picknic rock",NULL,NULL,NULL
7/25/2014,23.006,NULL,Cp,113914110A,R,F,NULL,345,141,103,50,135,NULL,E,Catfood,NULL,"EM- SSC"
9/22/2002,24.001,bask-p,Cp,113915295A,N,F,6+,181,110,87,41,101,ALM,BMI,NULL,"No front right leg. Developmental- not traumatic",Karrmann
9/28/2002,24.002,bask-p,Cp,113915295A,R,F,W,179,110,89,40,101,ALM,BMI,NULL,"Front right leg missing/natural",Karrmann
6/21/2004,24.003,snrkl,Cp,113915295A,R,F,W,206,115,90,40,105,ALM,BMI,NULL,"Front right leg missing/natural. Congenital. Notch R3 damage. Plastron R6 hole",Karrmann
6/25/2004,24.004,snrkl,Cp,113915295A,R,F,4+,212,115,90,41,106,ALM,BMI,NULL,"FRONT RIGHT LEG MISSING- PUNCHER SMALL HOLE ON PLASTON 5R",Karrmann
6/14/1997,25.001,Hoop,Cp,113915352A,N,M,5,180,NULL,NULL,NULL,110,ALM,NULL,NULL,"previously notched 4-3",McKinsey
6/16/1997,26.001,Hoop,Css,113916174A,N,?,13,6200,NULL,NULL,NULL,199,ALM,NULL,NULL,NULL,McKinsey
7/9/2004,27.001,snrkl,Cp,113918173A,N,M,4+,146,103,82,37,99,ALM,BMI,NULL,NULL,Karrmann
7/11/2004,27.002,snrkl,Cp,113918173A,R,M,W,144,103,81,36,98,ALM,BMI,NULL,NULL,Karrmann
7/18/2006,27.003,Hoop,Cp,113918173A,R,M,J,153,108,84,37,103,ALM,"Picnic Rock",NULL,NULL,NULL
7/21/2011,27.004,Hoop,cpp,113918173A,R,M,5+,192,118,88,40,111,SUT,swamp,NULL,NULL,"MV- RC- SG"
7/7/2015,27.005,Hoop,Cp,113918173A,R,F,NULL,225,120,86,44,113,SUT,NULL,NULL,Catfood,SSC
7/9/2015,27.006,Hoop,Cp,113918173A,R,M,NULL,225,120,90,45,115,SUT,NULL,NULL,Sardines,"SSC - Ed"
7/14/2015,27.007,Hoop,Cp,113918173A,R,M,NULL,NULL,124,88,43,116,SUT,North,NULL,"cloaca - 12.81- Tail - 42.0",NULL
7/16/2015,27.008,Hoop,Cp,113918173A,R,M,5+,220,122,85,42,114,SUT,NE,NULL,"cloaca - 14.16- Tail - 47.27",NULL
7/5/2004,28.001,bask-p,Cp,113923253A,N,F,W,365,148,114,49,138,ALM,BMI,NULL,NULL,Karrmann
8/14/2004,28.002,snrkl,Cp,113923253A,R,F,W,380,149,114,51,139,ALM,BMI,NULL,NULL,Karrmann
8/29/2006,28.003,Hoop,Cp,113923253A,R,F,NULL,415,148,109,50,138,ALM,NULL,NULL,RAINING,ws
6/14/1997,29.001,Hoop,Cp,113924685A,N,F,W,310,NULL,NULL,NULL,127,ALM,NULL,NULL,"previously notched 0-1",McKinsey
6/28/1998,29.002,Hoop,Cp,113924685A,R,F,NULL,NULL,133,100,NULL,NULL,ALM,NULL,NULL,"pit added on 03 JUN 03",Brady
8/15/2002,29.003,Hoop,Cp,113924685A,R,F,W,332,136,103,48,126,ALM,"Swamp Trail Inlet",NULL,"Indents on plastron",Karrmann
7/12/2003,29.004,bask-p,Cp,113924685A,R,F,W,335,136,103,48,126,ALM,BMI,NULL,"two basking Cp at sweet spot",Karrmann
7/19/2003,29.005,Hoop,Cp,113924685A,R,F,W,312,137,104,47,126,ALM,BMI,NULL,NULL,"Karrmann\ Schuster"
9/26/2004,29.006,bask-p,Cp,113924685A,R,F,W,330,137,104,49,126,ALM,BMI,NULL,NULL,Karrmann
8/5/2008,29.007,Hoop,Cp,113924685A,R,F,A,350,137,97,125,NULL,ALM,"Dam Side",NULL,NULL,NULL
6/17/2011,29.008,Hoop,Cp,113924685A,R,F,W,342,136,102,49,125,ALM,damside,NULL,NULL,"MV- JS. SG"
7/13/2011,29.009,Hoop,Cp,113924685A,R,F,W,210,136,100,45,126,ALM,"sweet spot",NULL,"both front legs bitten off at knee joint- wound still bleeding",MM
5/21/2013,29.01,Hoop,Cp,113924685A,R,F,W,362,138,102,50,124,ALM,"Dam Cove",NULL,"No front claws","MM- NYU"
8/28/2013,29.011,Hoop,Cp,113924685A,R,F,NULL,NULL,137,104,48,125,ALM,"C East",NULL,NULL,"SRMP TEAM 2013"
7/23/2014,29.012,NULL,Cp,113924685A,R,F,NULL,330,136,100,48,126,NULL,E,catfood,"Missing both front feet","EM- SSC"
6/15/1997,30.001,Hoop,Tse,113925235A,N,?,7,1100,NULL,NULL,NULL,182,ALM,NULL,NULL,NULL,McKinsey
8/14/2004,31.001,bask-m,Cp,113927353A,N,F,10+,345,142,109,50,132,ALM,BMI,NULL,NULL,Karrmann
7/24/2004,32.001,snrkl,Cp,113928531A,N,M,1,270,130,98,42,121,ALM,BMI,NULL,NULL,Karrmann
6/27/1997,33.001,Hoop,Cp,113929517A,N,F,W,320,NULL,NULL,NULL,133,ALM,NULL,NULL,NULL,McKinsey
7/8/2015,33.002,Hoop,Cp,113929517A,R,F,NULL,355,140,105,50,132,ALM,NULL,NULL,Catfood,"SSC - Ed"
6/26/1997,34.001,Hoop,Cp,113931357A,N,F,6,210,NULL,NULL,NULL,112,ALM,NULL,NULL,NULL,McKinsey
9/6/2001,35.001,Hoop,Cp,113932796A,N,F,NULL,336,136,103,NULL,NULL,ALM,NULL,NULL,new?,Munson
7/19/2006,35.002,Hoop,Cp,113932796A,R,M,A,355,139,107,49,134,ALM,"West Side",NULL,NULL,NULL
7/15/2008,35.003,Hoop,Cp,113932796A,R,M,A,360,137,104,50,136,ALM,"Sweet Spot",NULL,NULL,NULL
8/5/2008,35.004,Hoop,Cp,113932796A,R,F,A,300,140,104,50,134,ALM,"Dam Side",NULL,NULL,NULL
6/10/2011,35.005,Hoop,Cp,113932796A,R,F,W,345,139,105,51,133,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
9/16/2004,36.001,bask-m,Cp,113937152A,N,M,W,209,117,90,41,113,ALM,BMI,NULL,NULL,Karrmann
5/21/2013,36.002,Hoop,Cp,113937152A,R,M,A,355,126,94,44,121,ALM,"Dam Cove",NULL,NULL,"MM- NYU"
7/22/2013,36.003,Hoop,Cp,113937152A,R,M,NULL,261,129,90,44,119,ALM,INLET,NULL,NULL,Falk/Florio
8/28/2014,36.004,Hoop,Cp,113937152A,R,M,A,270,127,97,38,121,ALM,NULL,NULL,NULL,"SRMP TEAM 2014"
7/9/2015,36.005,Hoop,Cp,113937152A,R,M,NULL,248,127,93,43,122,ALM,East,NULL,Sardines,SSC
6/24/1997,37.001,Hoop,Css,113937345A,N,?,W,4600,NULL,NULL,NULL,210,ALM,NULL,NULL,NULL,McKinsey
7/15/2003,37.002,Hoop,Css,113937345A,R,F,NULL,13500,334,278,NULL,239,ALM,BMI,NULL,NULL,Karrmann
7/31/2004,37.003,Hoop,Css,113937345A,R,?,W,8000,345,283,-,-,ALM,BMI,NULL,"MISSED PLASTRON MEASUREMENT",Karrmann
9/21/1996,38.001,Hoop,Cp,113938471A,N,F,NULL,NULL,133,100,NULL,NULL,ALM,"Arthur's Inlet",NULL,"PIT added 29AUG03",Brady
6/25/1997,38.002,Hoop,Cp,113938471A,R,F,W,340,NULL,NULL,NULL,135,ALM,NULL,NULL,"previously notched 0(4-11)",McKinsey
7/31/2000,38.003,Hoop,Cp,113938471A,R,F,NULL,NULL,140,105,52,NULL,ALM,"Swamp Trail Inlet",NULL,"dorsal carapace very purple-R4 healed PIT added 29AUG03",CERC
7/31/2004,38.004,bask-m,Cp,113938471A,R,F,W,390,142,107,55,136,ALM,BMI,NULL,"R4? 113938471A",Karrmann
8/14/2004,38.005,bask-m,Cp,113938471A,R,F,W,370,141,112,52,135,ALM,BMI,NULL,"OLD SAW NOTCH V5 CHIPPED",Karrmann
7/22/2006,38.006,Hoop,Cp,113938471A,R,F,W,386,138,101,51,134,ALM,NULL,NULL,NULL,"WS - Team Turtle"
6/23/2011,38.007,Hoop,Cp,113938471A,R,F,W,391,141,105,52,134,ALM,dock,NULL,"big chip on R11","MV- RC"
7/5/2004,39.001,bask-m,Cp,113938692A,N,F,W,310,130,98,52,125,ALM,BMI,NULL,NULL,Karrmann
